matiere,annee,num_question,texte_question
mathématiques,2024,1,Dvelopper une expression. Rsumez en quelques lignes.
mathématiques,2024,2,Calculer un sinus. Illustrez par un schma simple.
mathématiques,2024,3,Calculer une drive simple. Prsentez les avantages et limites.
mathématiques,2024,4,Dvelopper une expression. Donnez une application pratique.
mathématiques,2024,5,Calculer une drive simple. Donnez une application pratique.
mathématiques,2024,6,Calculer le discriminant. Donnez une dfinition complte.
mathématiques,2024,7,Rsoudre une quation logarithmique. Comparez avec une notion proche.
mathématiques,2024,8,Dterminer une image par fonction. Donnez une application pratique.
mathématiques,2024,9,Rsoudre un systme d’quations. Comparez avec une notion proche.
mathématiques,2024,10,noncer le thorme de Pythagore. Expliquez avec un exemple concret.
mathématiques,2024,11,noncer le thorme de Pythagore. Donnez une dfinition complte.
mathématiques,2024,12,noncer le thorme de Pythagore. Donnez une application pratique.
mathématiques,2024,13,Dterminer une primitive. Illustrez par un schma simple.
mathématiques,2024,14,noncer le thorme de Pythagore. Rsumez en quelques lignes.
mathématiques,2024,15,Calculer le discriminant. Comparez avec une notion proche.
mathématiques,2024,16,Calculer un sinus. Donnez une dfinition complte.
mathématiques,2024,17,Calculer un sinus. Prsentez les tapes principales.
mathématiques,2024,18,Dterminer une quation de droite. Rsumez en quelques lignes.
mathématiques,2024,19,Dvelopper une expression. Comparez avec une notion proche.
mathématiques,2024,20,Calculer une limite. Donnez une dfinition complte.
