matiere,annee,num_question,texte_question
biologie,2025,1,Dfinir un cosystme. Rsumez en quelques lignes.
biologie,2025,2,Dfinir l’immunit. Rsumez en quelques lignes.
biologie,2025,3,Expliquer le rle des globules rouges. Donnez deux exemples prcis.
biologie,2025,4,Dfinir la mitose. Illustrez par un schma simple.
biologie,2025,5,Expliquer la respiration. Rsumez en quelques lignes.
biologie,2025,6,Expliquer la respiration. Expliquez avec un exemple concret.
biologie,2025,7,Citer les tapes de la digestion. Expliquez selon le programme de finaliste.
biologie,2025,8,Diffrencier virus et bactrie. Expliquez avec un exemple concret.
biologie,2025,9,Expliquer le rle des globules rouges. Comparez avec une notion proche.
biologie,2025,10,Citer les organes digestifs. Prsentez les tapes principales.
biologie,2025,11,Expliquer le rle de l’ADN. Prsentez les avantages et limites.
biologie,2025,12,Citer des maladies infectieuses. Illustrez par un schma simple.
biologie,2025,13,Citer des maladies infectieuses. Rsumez en quelques lignes.
biologie,2025,14,Citer les parties d’une cellule. Expliquez avec un exemple concret.
biologie,2025,15,Expliquer le rle de l’ADN. Donnez deux exemples prcis.
biologie,2025,16,Dfinir un cosystme. Illustrez par un schma simple.
biologie,2025,17,Expliquer la reproduction sexue. Expliquez selon le programme de finaliste.
biologie,2025,18,Dfinir un cosystme. Donnez deux exemples prcis.
biologie,2025,19,Dfinir une maladie hrditaire. Prsentez les avantages et limites.
biologie,2025,20,Donner les groupes sanguins. Prsentez les tapes principales.
