matiere,annee,num_question,texte_question
autre,2024,1,Dfinir une proposition subordonne. Comparez avec une notion proche.
autre,2024,2,Identifier un temps verbal. Prsentez les tapes principales.
autre,2024,3,Donner un synonyme. Expliquez avec un exemple concret.
autre,2024,4,Former une phrase au conditionnel. Prsentez les avantages et limites.
autre,2024,5,Former une phrase au conditionnel. Illustrez par un schma simple.
autre,2024,6,Dfinir le genre thtral. Illustrez par un schma simple.
autre,2024,7,Donner un antonyme. Donnez une application pratique.
autre,2024,8,Dfinir une proposition subordonne. Comparez avec une notion proche.
autre,2024,9,Transformer une phrase active en passive. Prsentez les avantages et limites.
autre,2024,10,Identifier un temps verbal. Donnez deux exemples prcis.
autre,2024,11,Donner un synonyme. Donnez une dfinition complte.
autre,2024,12,Dfinir le genre thtral. Donnez une dfinition complte.
autre,2024,13,Transformer une phrase active en passive. Comparez avec une notion proche.
autre,2024,14,Donner un synonyme. Comparez avec une notion proche.
autre,2024,15,Donner un synonyme. Comparez avec une notion proche.
autre,2024,16,Former une phrase au conditionnel. Illustrez par un schma simple.
autre,2024,17,Donner un synonyme. Prsentez les tapes principales.
autre,2024,18,Dfinir une proposition subordonne. Prsentez les tapes principales.
autre,2024,19,Rdiger un paragraphe argumentatif. Prsentez les tapes principales.
autre,2024,20,Diffrencier auteur et narrateur. Donnez deux exemples prcis.
