matiere,annee,num_question,texte_question
autre,2018,1,Identifier une figure de style. Donnez deux exemples prcis.
autre,2018,2,Donner un exemple de mtaphore. Illustrez par un schma simple.
autre,2018,3,Identifier un champ lexical. Prsentez les avantages et limites.
autre,2018,4,Corriger une phrase. Donnez deux exemples prcis.
autre,2018,5,Dfinir le complment d’objet direct. Donnez deux exemples prcis.
autre,2018,6,Former une phrase au conditionnel. Illustrez par un schma simple.
autre,2018,7,Rdiger une introduction. Expliquez avec un exemple concret.
autre,2018,8,Identifier un temps verbal. Donnez une dfinition complte.
autre,2018,9,Donner un exemple de mtaphore. Donnez deux exemples prcis.
autre,2018,10,Donner un exemple de mtaphore. Rsumez en quelques lignes.
autre,2018,11,Donner un exemple de mtaphore. Donnez une dfinition complte.
autre,2018,12,Transformer une phrase active en passive. Donnez deux exemples prcis.
autre,2018,13,Donner un antonyme. Expliquez selon le programme de finaliste.
autre,2018,14,Corriger une phrase. Illustrez par un schma simple.
autre,2018,15,Dfinir le genre thtral. Prsentez les avantages et limites.
autre,2018,16,Identifier une figure de style. Rsumez en quelques lignes.
autre,2018,17,Rdiger un paragraphe argumentatif. Prsentez les tapes principales.
autre,2018,18,Dfinir le complment d’objet direct. Comparez avec une notion proche.
autre,2018,19,Accorder un participe pass. Donnez deux exemples prcis.
autre,2018,20,Dfinir une proposition subordonne. Donnez deux exemples prcis.
