matiere,annee,num_question,texte_question
biologie,2019,1,Dfinir la mitose. Prsentez les avantages et limites.
biologie,2019,2,Expliquer la reproduction sexue. Donnez deux exemples prcis.
biologie,2019,3,Expliquer le rle des globules rouges. Donnez une dfinition complte.
biologie,2019,4,Dfinir un tissu. Rsumez en quelques lignes.
biologie,2019,5,Expliquer le rle de l’ADN. Donnez deux exemples prcis.
biologie,2019,6,Expliquer la reproduction sexue. Expliquez selon le programme de finaliste.
biologie,2019,7,Expliquer le rle de l’ADN. Prsentez les tapes principales.
biologie,2019,8,Dfinir une maladie hrditaire. Rsumez en quelques lignes.
biologie,2019,9,Dfinir un tissu. Prsentez les avantages et limites.
biologie,2019,10,Dfinir la mitose. Donnez une application pratique.
biologie,2019,11,Citer les parties d’une cellule. Donnez deux exemples prcis.
biologie,2019,12,Dfinir une maladie hrditaire. Rsumez en quelques lignes.
biologie,2019,13,Expliquer la reproduction sexue. Donnez une application pratique.
biologie,2019,14,Diffrencier virus et bactrie. Expliquez avec un exemple concret.
biologie,2019,15,Dfinir la cellule. Prsentez les avantages et limites.
biologie,2019,16,Dfinir la photosynthse. Donnez une application pratique.
biologie,2019,17,Dfinir la photosynthse. Comparez avec une notion proche.
biologie,2019,18,Diffrencier virus et bactrie. Comparez avec une notion proche.
biologie,2019,19,Dfinir la mitose. Donnez une dfinition complte.
biologie,2019,20,Dfinir la mitose. Donnez une dfinition complte.
