matiere,annee,num_question,texte_question
biologie,2018,1,Donner les groupes sanguins. Expliquez selon le programme de finaliste.
biologie,2018,2,Citer des maladies infectieuses. Donnez une dfinition complte.
biologie,2018,3,Donner les groupes sanguins. Expliquez selon le programme de finaliste.
biologie,2018,4,Dfinir la mitose. Donnez une application pratique.
biologie,2018,5,Citer les organes digestifs. Prsentez les tapes principales.
biologie,2018,6,Dfinir la photosynthse. Expliquez selon le programme de finaliste.
biologie,2018,7,Dfinir la cellule. Donnez une dfinition complte.
biologie,2018,8,Expliquer la chane alimentaire. Expliquez selon le programme de finaliste.
biologie,2018,9,Dfinir une maladie hrditaire. Prsentez les tapes principales.
biologie,2018,10,Dfinir la mitose. Rsumez en quelques lignes.
biologie,2018,11,Citer des maladies infectieuses. Donnez une application pratique.
biologie,2018,12,Dfinir la mitose. Donnez une application pratique.
biologie,2018,13,Expliquer la reproduction sexue. Comparez avec une notion proche.
biologie,2018,14,Expliquer le rle du noyau. Prsentez les tapes principales.
biologie,2018,15,Citer des maladies infectieuses. Illustrez par un schma simple.
biologie,2018,16,Dfinir la photosynthse. Comparez avec une notion proche.
biologie,2018,17,Dfinir l’immunit. Rsumez en quelques lignes.
biologie,2018,18,Expliquer la chane alimentaire. Illustrez par un schma simple.
biologie,2018,19,Expliquer le rle des globules rouges. Rsumez en quelques lignes.
biologie,2018,20,Citer les organes digestifs. Donnez deux exemples prcis.
