matiere,annee,num_question,texte_question
biologie,2024,1,Dfinir la cellule.
biologie,2024,2,Dfinir un tissu.
biologie,2024,3,Expliquer le rle du noyau cellulaire.
biologie,2024,4,Dfinir une maladie hrditaire.
biologie,2024,5,Citer les parties principales d’une cellule animale.
biologie,2024,6,Citer trois maladies infectieuses.
biologie,2024,7,Diffrencier virus et bactrie.
biologie,2024,8,Dfinir l’immunit.
biologie,2024,9,Expliquer la respiration pulmonaire.
biologie,2024,10,Dfinir un cosystme.
biologie,2024,11,Expliquer le rle des globules rouges.
biologie,2024,12,Expliquer la chane alimentaire.
biologie,2024,13,Citer les besoins nutritifs des plantes.
biologie,2024,14,Citer trois organes du systme digestif.
biologie,2024,15,Donner les groupes sanguins chez l’homme.
biologie,2024,16,Dfinir la photosynthse.
biologie,2024,17,Dfinir la mitose.
biologie,2024,18,Expliquer la reproduction sexue.
biologie,2024,19,Expliquer le rle de l’ADN.
biologie,2024,20,Citer les tapes de la digestion.
