matiere,annee,num_question,texte_question
autre,2019,1,Identifier un temps verbal. Expliquez avec un exemple concret.
autre,2019,2,Donner un synonyme. Rsumez en quelques lignes.
autre,2019,3,Donner un synonyme. Prsentez les tapes principales.
autre,2019,4,Rdiger une introduction. Prsentez les avantages et limites.
autre,2019,5,Transformer une phrase active en passive. Expliquez selon le programme de finaliste.
autre,2019,6,Accorder un participe pass. Prsentez les tapes principales.
autre,2019,7,Identifier un temps verbal. Illustrez par un schma simple.
autre,2019,8,Identifier un temps verbal. Donnez deux exemples prcis.
autre,2019,9,Former une phrase au conditionnel. Prsentez les tapes principales.
autre,2019,10,Dfinir le registre soutenu. Illustrez par un schma simple.
autre,2019,11,Donner un exemple de mtaphore. Prsentez les tapes principales.
autre,2019,12,Accorder un participe pass. Comparez avec une notion proche.
autre,2019,13,Donner un synonyme. Expliquez avec un exemple concret.
autre,2019,14,Expliquer le rle du narrateur. Expliquez selon le programme de finaliste.
autre,2019,15,Dfinir le complment d’objet direct. Prsentez les tapes principales.
autre,2019,16,Identifier un temps verbal. Expliquez avec un exemple concret.
autre,2019,17,Corriger une phrase. Prsentez les tapes principales.
autre,2019,18,Transformer un discours direct. Comparez avec une notion proche.
autre,2019,19,Transformer un discours direct. Illustrez par un schma simple.
autre,2019,20,Donner un antonyme. Prsentez les avantages et limites.
