matiere,annee,num_question,texte_question
histoire-géo,2019,1,Citer les ressources minires de la RDC. Rsumez en quelques lignes.
histoire-géo,2019,2,Citer les causes de la Premire Guerre mondiale. Donnez une dfinition complte.
histoire-géo,2019,3,Citer les ressources minires de la RDC. Donnez une application pratique.
histoire-géo,2019,4,Citer les ocans du monde. Rsumez en quelques lignes.
histoire-géo,2019,5,Dfinir la mondialisation. Rsumez en quelques lignes.
histoire-géo,2019,6,Expliquer l’urbanisation. Prsentez les avantages et limites.
histoire-géo,2019,7,Citer des organisations internationales. Prsentez les tapes principales.
histoire-géo,2019,8,Expliquer les migrations. Rsumez en quelques lignes.
histoire-géo,2019,9,Dfinir latitude et longitude. Comparez avec une notion proche.
histoire-géo,2019,10,Citer les ressources minires de la RDC. Prsentez les avantages et limites.
histoire-géo,2019,11,Dfinir la savane. Donnez une application pratique.
histoire-géo,2019,12,Expliquer l’importance du fleuve Congo. Expliquez selon le programme de finaliste.
histoire-géo,2019,13,Expliquer les migrations. Illustrez par un schma simple.
histoire-géo,2019,14,Dfinir la mondialisation. Expliquez avec un exemple concret.
histoire-géo,2019,15,Expliquer l’importance du fleuve Congo. Prsentez les tapes principales.
histoire-géo,2019,16,Citer des organisations internationales. Comparez avec une notion proche.
histoire-géo,2019,17,Expliquer les migrations. Prsentez les tapes principales.
histoire-géo,2019,18,Citer les provinces de la RDC. Donnez une dfinition complte.
histoire-géo,2019,19,Citer les pays voisins de la RDC. Donnez une application pratique.
histoire-géo,2019,20,Dfinir la colonisation. Prsentez les avantages et limites.
