matiere,annee,num_question,texte_question
autre,2022,1,Transformer une phrase active en passive. Comparez avec une notion proche.
autre,2022,2,Expliquer le rle du narrateur. Expliquez selon le programme de finaliste.
autre,2022,3,Rdiger un paragraphe argumentatif. Expliquez selon le programme de finaliste.
autre,2022,4,Rdiger une introduction. Illustrez par un schma simple.
autre,2022,5,Donner un exemple de mtaphore. Illustrez par un schma simple.
autre,2022,6,Dfinir le registre soutenu. Rsumez en quelques lignes.
autre,2022,7,Dfinir le registre soutenu. Comparez avec une notion proche.
autre,2022,8,Transformer un discours direct. Rsumez en quelques lignes.
autre,2022,9,Rdiger un paragraphe argumentatif. Donnez deux exemples prcis.
autre,2022,10,Transformer une phrase active en passive. Prsentez les tapes principales.
autre,2022,11,Identifier un temps verbal. Illustrez par un schma simple.
autre,2022,12,Former une phrase au conditionnel. Donnez deux exemples prcis.
autre,2022,13,Donner un exemple de mtaphore. Rsumez en quelques lignes.
autre,2022,14,Expliquer le rle du narrateur. Prsentez les tapes principales.
autre,2022,15,Rdiger une introduction. Rsumez en quelques lignes.
autre,2022,16,Donner un antonyme. Rsumez en quelques lignes.
autre,2022,17,Identifier une figure de style. Donnez deux exemples prcis.
autre,2022,18,Former une phrase au conditionnel. Prsentez les avantages et limites.
autre,2022,19,Identifier un champ lexical. Expliquez avec un exemple concret.
autre,2022,20,Accorder un participe pass. Expliquez selon le programme de finaliste.
