matiere,annee,num_question,texte_question
physique-chimie,2019,1,noncer la loi d’Ohm. Donnez deux exemples prcis.
physique-chimie,2019,2,Donner la composition du noyau. Rsumez en quelques lignes.
physique-chimie,2019,3,Calculer un travail mcanique. Donnez une application pratique.
physique-chimie,2019,4,Dfinir un acide. Illustrez par un schma simple.
physique-chimie,2019,5,Expliquer la fusion. Donnez une application pratique.
physique-chimie,2019,6,Dfinir l’vaporation. Comparez avec une notion proche.
physique-chimie,2019,7,Donner la formule de la puissance lectrique. Prsentez les tapes principales.
physique-chimie,2019,8,quilibrer une quation chimique. Comparez avec une notion proche.
physique-chimie,2019,9,Dfinir la tension lectrique. Donnez une application pratique.
physique-chimie,2019,10,Diffrencier masse et poids. Comparez avec une notion proche.
physique-chimie,2019,11,Dfinir l’nergie cintique. Prsentez les avantages et limites.
physique-chimie,2019,12,Dfinir une raction chimique. Rsumez en quelques lignes.
physique-chimie,2019,13,Dfinir la gravitation. Prsentez les avantages et limites.
physique-chimie,2019,14,noncer la loi d’Ohm. Expliquez avec un exemple concret.
physique-chimie,2019,15,Dfinir la vitesse. Donnez deux exemples prcis.
physique-chimie,2019,16,Donner la formule de la puissance lectrique. Comparez avec une notion proche.
physique-chimie,2019,17,Citer des mtaux conducteurs. Comparez avec une notion proche.
physique-chimie,2019,18,noncer la loi d’Ohm. Donnez deux exemples prcis.
physique-chimie,2019,19,Dfinir la tension lectrique. Expliquez selon le programme de finaliste.
physique-chimie,2019,20,Dfinir la vitesse. Donnez deux exemples prcis.
