matiere,annee,num_question,texte_question
physique-chimie,2024,1,Dfinir un acide. Illustrez par un schma simple.
physique-chimie,2024,2,Dfinir la gravitation. Prsentez les tapes principales.
physique-chimie,2024,3,Dfinir l’nergie cintique. Donnez une application pratique.
physique-chimie,2024,4,Dfinir un acide. Comparez avec une notion proche.
physique-chimie,2024,5,Expliquer la fusion. Donnez une dfinition complte.
physique-chimie,2024,6,Diffrencier masse et poids. Expliquez avec un exemple concret.
physique-chimie,2024,7,Diffrencier masse et poids. Prsentez les tapes principales.
physique-chimie,2024,8,Dfinir un atome. Expliquez selon le programme de finaliste.
physique-chimie,2024,9,noncer la loi d’Ohm. Expliquez avec un exemple concret.
physique-chimie,2024,10,Donner la composition du noyau. Donnez deux exemples prcis.
physique-chimie,2024,11,Donner la composition du noyau. Rsumez en quelques lignes.
physique-chimie,2024,12,Diffrencier masse et poids. Expliquez selon le programme de finaliste.
physique-chimie,2024,13,Dfinir la tension lectrique. Comparez avec une notion proche.
physique-chimie,2024,14,Expliquer la rfraction. Donnez deux exemples prcis.
physique-chimie,2024,15,Donner la composition du noyau. Donnez une application pratique.
physique-chimie,2024,16,Dfinir la gravitation. Expliquez selon le programme de finaliste.
physique-chimie,2024,17,Dfinir la tension lectrique. Prsentez les tapes principales.
physique-chimie,2024,18,Dfinir l’vaporation. Donnez une application pratique.
physique-chimie,2024,19,Expliquer la fusion. Prsentez les avantages et limites.
physique-chimie,2024,20,Calculer une pression. Expliquez avec un exemple concret.
