matiere,annee,num_question,texte_question
physique-chimie,2022,1,Dfinir une raction chimique.
physique-chimie,2022,2,noncer la loi d’Ohm.
physique-chimie,2022,3,Dfinir l’vaporation.
physique-chimie,2022,4,Calculer la pression exerce sur une surface.
physique-chimie,2022,5,Dfinir un atome.
physique-chimie,2022,6,Dfinir la vitesse.
physique-chimie,2022,7,Dfinir un acide.
physique-chimie,2022,8,Calculer la densit d’un corps.
physique-chimie,2022,9,Donner la composition du noyau atomique.
physique-chimie,2022,10,Dfinir la force gravitationnelle.
physique-chimie,2022,11,quilibrer une quation chimique simple.
physique-chimie,2022,12,Dfinir l’nergie cintique.
physique-chimie,2022,13,Expliquer la diffrence entre masse et poids.
physique-chimie,2022,14,Expliquer le phnomne de la rfraction.
physique-chimie,2022,15,Citer les tats physiques de la matire.
physique-chimie,2022,16,Calculer le travail d’une force.
physique-chimie,2022,17,Citer trois mtaux conducteurs.
physique-chimie,2022,18,Dfinir la tension lectrique.
physique-chimie,2022,19,Expliquer la fusion.
physique-chimie,2022,20,Donner la formule de la puissance lectrique.
