matiere,annee,num_question,texte_question
physique-chimie,2025,1,Calculer un travail mcanique. Donnez deux exemples prcis.
physique-chimie,2025,2,Dfinir la vitesse. Donnez une dfinition complte.
physique-chimie,2025,3,Citer des mtaux conducteurs. Rsumez en quelques lignes.
physique-chimie,2025,4,Dfinir la tension lectrique. Donnez une dfinition complte.
physique-chimie,2025,5,Calculer une densit. Donnez une dfinition complte.
physique-chimie,2025,6,Calculer une densit. Rsumez en quelques lignes.
physique-chimie,2025,7,quilibrer une quation chimique. Expliquez selon le programme de finaliste.
physique-chimie,2025,8,Dfinir l’vaporation. Illustrez par un schma simple.
physique-chimie,2025,9,Expliquer la rfraction. Comparez avec une notion proche.
physique-chimie,2025,10,Dfinir un atome. Rsumez en quelques lignes.
physique-chimie,2025,11,Citer des mtaux conducteurs. Expliquez avec un exemple concret.
physique-chimie,2025,12,Dfinir la vitesse. Rsumez en quelques lignes.
physique-chimie,2025,13,noncer la loi d’Ohm. Illustrez par un schma simple.
physique-chimie,2025,14,Calculer un travail mcanique. Donnez une dfinition complte.
physique-chimie,2025,15,Calculer une pression. Donnez une dfinition complte.
physique-chimie,2025,16,quilibrer une quation chimique. Expliquez selon le programme de finaliste.
physique-chimie,2025,17,Calculer une densit. Donnez deux exemples prcis.
physique-chimie,2025,18,noncer la loi d’Ohm. Donnez une dfinition complte.
physique-chimie,2025,19,Dfinir l’nergie cintique. Donnez une application pratique.
physique-chimie,2025,20,Dfinir un atome. Expliquez selon le programme de finaliste.
