matiere,annee,num_question,texte_question
mathématiques,2019,1,Calculer le discriminant. Prsentez les avantages et limites.
mathématiques,2019,2,Tracer un tableau de signe. Comparez avec une notion proche.
mathématiques,2019,3,Dfinir une suite arithmtique. Donnez une dfinition complte.
mathématiques,2019,4,Dterminer une image par fonction. Comparez avec une notion proche.
mathématiques,2019,5,Rsoudre une quation logarithmique. Donnez une dfinition complte.
mathématiques,2019,6,Calculer une moyenne. Expliquez avec un exemple concret.
mathématiques,2019,7,Tracer un tableau de signe. Expliquez avec un exemple concret.
mathématiques,2019,8,Calculer une limite. Donnez une dfinition complte.
mathématiques,2019,9,Dvelopper une expression. Donnez une dfinition complte.
mathématiques,2019,10,Calculer un volume. Expliquez selon le programme de finaliste.
mathématiques,2019,11,Calculer un volume. Prsentez les tapes principales.
mathématiques,2019,12,Calculer le discriminant. Prsentez les avantages et limites.
mathématiques,2019,13,Calculer une aire. Donnez une application pratique.
mathématiques,2019,14,Calculer une aire. Illustrez par un schma simple.
mathématiques,2019,15,Calculer une drive simple. Expliquez avec un exemple concret.
mathématiques,2019,16,Calculer un sinus. Donnez une dfinition complte.
mathématiques,2019,17,Rsoudre une inquation. Illustrez par un schma simple.
mathématiques,2019,18,Tracer un tableau de signe. Donnez une dfinition complte.
mathématiques,2019,19,Rsoudre une quation du second degr. Donnez deux exemples prcis.
mathématiques,2019,20,Calculer un sinus. Expliquez avec un exemple concret.
