matiere,annee,num_question,texte_question
histoire-géo,2022,1,Dfinir la dmocratie. Donnez une application pratique.
histoire-géo,2022,2,Citer les causes de la Premire Guerre mondiale. Rsumez en quelques lignes.
histoire-géo,2022,3,Dfinir la mondialisation. Expliquez avec un exemple concret.
histoire-géo,2022,4,Expliquer le rle de l’ONU. Comparez avec une notion proche.
histoire-géo,2022,5,Citer les provinces de la RDC. Donnez une application pratique.
histoire-géo,2022,6,Expliquer le changement climatique. Donnez deux exemples prcis.
histoire-géo,2022,7,Expliquer le rle de l’ONU. Donnez une application pratique.
histoire-géo,2022,8,Dfinir une carte gographique. Rsumez en quelques lignes.
histoire-géo,2022,9,Dfinir la mondialisation. Donnez deux exemples prcis.
histoire-géo,2022,10,Citer les ocans du monde. Donnez une application pratique.
histoire-géo,2022,11,Dfinir la colonisation. Illustrez par un schma simple.
histoire-géo,2022,12,Dfinir la mondialisation. Rsumez en quelques lignes.
histoire-géo,2022,13,Citer les causes de la Premire Guerre mondiale. Prsentez les avantages et limites.
histoire-géo,2022,14,Dfinir un climat tropical. Illustrez par un schma simple.
histoire-géo,2022,15,Citer les provinces de la RDC. Rsumez en quelques lignes.
histoire-géo,2022,16,Dfinir la colonisation. Prsentez les tapes principales.
histoire-géo,2022,17,Dfinir la colonisation. Donnez deux exemples prcis.
histoire-géo,2022,18,Expliquer l’urbanisation. Illustrez par un schma simple.
histoire-géo,2022,19,Citer des organisations internationales. Comparez avec une notion proche.
histoire-géo,2022,20,Citer des organisations internationales. Rsumez en quelques lignes.
