matiere,annee,num_question,texte_question
mathématiques,2020,1,Calculer un volume. Prsentez les tapes principales.
mathématiques,2020,2,noncer le thorme de Pythagore. Expliquez selon le programme de finaliste.
mathématiques,2020,3,noncer le thorme de Pythagore. Illustrez par un schma simple.
mathématiques,2020,4,Rsoudre une quation logarithmique. Comparez avec une notion proche.
mathématiques,2020,5,Dfinir une suite gomtrique. Donnez une dfinition complte.
mathématiques,2020,6,Rsoudre une quation logarithmique. Donnez une dfinition complte.
mathématiques,2020,7,Dfinir une suite arithmtique. Rsumez en quelques lignes.
mathématiques,2020,8,Dterminer une quation de droite. Expliquez avec un exemple concret.
mathématiques,2020,9,Calculer un sinus. Prsentez les tapes principales.
mathématiques,2020,10,Dterminer une quation de droite. Prsentez les tapes principales.
mathématiques,2020,11,Dfinir une suite arithmtique. Donnez deux exemples prcis.
mathématiques,2020,12,Tracer un tableau de signe. Expliquez selon le programme de finaliste.
mathématiques,2020,13,Rsoudre une inquation. Donnez deux exemples prcis.
mathématiques,2020,14,Dvelopper une expression. Illustrez par un schma simple.
mathématiques,2020,15,Calculer une aire. Prsentez les tapes principales.
mathématiques,2020,16,noncer le thorme de Pythagore. Prsentez les avantages et limites.
mathématiques,2020,17,Calculer une limite. Illustrez par un schma simple.
mathématiques,2020,18,Dterminer une primitive. Illustrez par un schma simple.
mathématiques,2020,19,Tracer un tableau de signe. Prsentez les tapes principales.
mathématiques,2020,20,Calculer une aire. Prsentez les avantages et limites.
