matiere,annee,num_question,texte_question
histoire-géo,2025,1,Citer les ocans du monde.
histoire-géo,2025,2,Citer les provinces de la RDC.
histoire-géo,2025,3,Citer les grands royaumes africains anciens.
histoire-géo,2025,4,Dfinir la mondialisation.
histoire-géo,2025,5,Dfinir la savane.
histoire-géo,2025,6,Citer les ressources minires de la RDC.
histoire-géo,2025,7,Expliquer les causes de l’urbanisation.
histoire-géo,2025,8,Dfinir une carte gographique.
histoire-géo,2025,9,Dfinir la dmocratie.
histoire-géo,2025,10,Expliquer les mouvements de population.
histoire-géo,2025,11,Citer les pays voisins de la RDC.
histoire-géo,2025,12,Dfinir un climat tropical.
histoire-géo,2025,13,Dfinir la colonisation.
histoire-géo,2025,14,Dfinir la latitude et la longitude.
histoire-géo,2025,15,Expliquer le rle de l’ONU.
histoire-géo,2025,16,Expliquer les effets du changement climatique.
histoire-géo,2025,17,Citer les causes de la Premire Guerre mondiale.
histoire-géo,2025,18,Expliquer les consquences de la Seconde Guerre mondiale.
histoire-géo,2025,19,Citer trois organisations internationales.
histoire-géo,2025,20,Expliquer l’importance du fleuve Congo.
