matiere,annee,num_question,texte_question
biologie,2025,1,Citer les parties d’une cellule. Prsentez les avantages et limites.
biologie,2025,2,Dfinir un tissu. Donnez une application pratique.
biologie,2025,3,Expliquer le rle du noyau. Expliquez avec un exemple concret.
biologie,2025,4,Citer des maladies infectieuses. Illustrez par un schma simple.
biologie,2025,5,Expliquer le rle des globules rouges. Donnez une application pratique.
biologie,2025,6,Expliquer la chane alimentaire. Donnez une application pratique.
biologie,2025,7,Dfinir la photosynthse. Expliquez avec un exemple concret.
biologie,2025,8,Citer les organes digestifs. Donnez deux exemples prcis.
biologie,2025,9,Expliquer le rle des globules rouges. Donnez une dfinition complte.
biologie,2025,10,Dfinir la photosynthse. Donnez une dfinition complte.
biologie,2025,11,Donner les groupes sanguins. Donnez une application pratique.
biologie,2025,12,Expliquer la respiration. Prsentez les avantages et limites.
biologie,2025,13,Expliquer le rle de l’ADN. Rsumez en quelques lignes.
biologie,2025,14,Expliquer la reproduction sexue. Prsentez les avantages et limites.
biologie,2025,15,Citer les parties d’une cellule. Donnez une application pratique.
biologie,2025,16,Expliquer le rle du noyau. Prsentez les avantages et limites.
biologie,2025,17,Expliquer le rle du noyau. Illustrez par un schma simple.
biologie,2025,18,Donner les groupes sanguins. Prsentez les avantages et limites.
biologie,2025,19,Expliquer la reproduction sexue. Expliquez avec un exemple concret.
biologie,2025,20,Dfinir un cosystme. Prsentez les tapes principales.
