matiere,annee,num_question,texte_question
histoire-géo,2024,1,Expliquer les migrations. Prsentez les avantages et limites.
histoire-géo,2024,2,Dfinir la mondialisation. Comparez avec une notion proche.
histoire-géo,2024,3,Citer les ocans du monde. Donnez une dfinition complte.
histoire-géo,2024,4,Expliquer les consquences de la Seconde Guerre mondiale. Illustrez par un schma simple.
histoire-géo,2024,5,Dfinir un climat tropical. Rsumez en quelques lignes.
histoire-géo,2024,6,Dfinir la colonisation. Illustrez par un schma simple.
histoire-géo,2024,7,Expliquer l’urbanisation. Expliquez avec un exemple concret.
histoire-géo,2024,8,Citer les ressources minires de la RDC. Expliquez avec un exemple concret.
histoire-géo,2024,9,Citer les pays voisins de la RDC. Illustrez par un schma simple.
histoire-géo,2024,10,Dfinir un climat tropical. Comparez avec une notion proche.
histoire-géo,2024,11,Citer des organisations internationales. Rsumez en quelques lignes.
histoire-géo,2024,12,Citer les ocans du monde. Donnez une dfinition complte.
histoire-géo,2024,13,Dfinir la mondialisation. Prsentez les tapes principales.
histoire-géo,2024,14,Citer les ocans du monde. Expliquez avec un exemple concret.
histoire-géo,2024,15,Dfinir un climat tropical. Prsentez les avantages et limites.
histoire-géo,2024,16,Expliquer les consquences de la Seconde Guerre mondiale. Rsumez en quelques lignes.
histoire-géo,2024,17,Dfinir une carte gographique. Prsentez les tapes principales.
histoire-géo,2024,18,Expliquer le rle de l’ONU. Rsumez en quelques lignes.
histoire-géo,2024,19,Citer les provinces de la RDC. Prsentez les tapes principales.
histoire-géo,2024,20,Citer les provinces de la RDC. Prsentez les avantages et limites.
