matiere,annee,num_question,texte_question
histoire-géo,2020,1,Dfinir latitude et longitude. Rsumez en quelques lignes.
histoire-géo,2020,2,Dfinir la savane. Expliquez selon le programme de finaliste.
histoire-géo,2020,3,Dfinir une carte gographique. Expliquez avec un exemple concret.
histoire-géo,2020,4,Dfinir une carte gographique. Comparez avec une notion proche.
histoire-géo,2020,5,Dfinir une carte gographique. Donnez deux exemples prcis.
histoire-géo,2020,6,Expliquer l’importance du fleuve Congo. Prsentez les avantages et limites.
histoire-géo,2020,7,Citer les pays voisins de la RDC. Rsumez en quelques lignes.
histoire-géo,2020,8,Citer les provinces de la RDC. Comparez avec une notion proche.
histoire-géo,2020,9,Dfinir la savane. Expliquez selon le programme de finaliste.
histoire-géo,2020,10,Dfinir la mondialisation. Donnez deux exemples prcis.
histoire-géo,2020,11,Citer les pays voisins de la RDC. Donnez une dfinition complte.
histoire-géo,2020,12,Dfinir la dmocratie. Illustrez par un schma simple.
histoire-géo,2020,13,Expliquer le rle de l’ONU. Illustrez par un schma simple.
histoire-géo,2020,14,Citer les pays voisins de la RDC. Prsentez les avantages et limites.
histoire-géo,2020,15,Dfinir un climat tropical. Comparez avec une notion proche.
histoire-géo,2020,16,Dfinir la mondialisation. Expliquez selon le programme de finaliste.
histoire-géo,2020,17,Citer les royaumes africains anciens. Prsentez les avantages et limites.
histoire-géo,2020,18,Dfinir un climat tropical. Illustrez par un schma simple.
histoire-géo,2020,19,Dfinir la mondialisation. Expliquez avec un exemple concret.
histoire-géo,2020,20,Expliquer les migrations. Comparez avec une notion proche.
